MoleculeName
UniProt:Q8N8S7 ENAH
UniProt:P50552 VASP
UniProt:P08575 PTPRC
UniProt:Q9Y2R2 PTPN22
UniProt:Q9NWQ8 PAG1
UniProt:Q04759 PRKCQ
UniProt:O95999 BCL10
UniProt:O15530 PDPK1
UniProt:Q9BXL7 CARD11
UniProt:P60484 PTEN
UniProt:Q9UDY8 MALT1
UniProt:P49427 CDC34
UniProt:Q6PIZ9 TRAT1
UniProt:P22694 PRKACB
UniProt:P22612 PRKACG
UniProt:Q13976-1 PRKG1
UniProt:Q684P5 RAP1GAP2
UniProt:P31946 YWHAB
UniProt:P47736 RAP1GAP
UniProt:Q96FS4 SIPA1
UniProt:P62834 RAP1A
UniProt:P04049 RAF1
UniProt:O95398 RAPGEF3
UniProt:Q8WZA2 RAPGEF4
UniProt:Q7LDG7 RASGRP2
UniProt:O95267 RASGRP1
UniProt:P20273 CD22
UniProt:P01880 IGHD
UniProt:P01766 IGHV3-13
UniProt:P01768 IGHV3-30
UniProt:P01814 IGHV2-70
UniProt:P01767 IGHV3-53
UniProt:P06331 IGHV4-34
UniProt:P23083 IGHV1-2
UniProt:P01817 IGHV2-5
UniProt:P01743 IGHV1-46
UniProt:P01824 IGHV4-39
UniProt:P01763 IGHV3-48
UniProt:P01782 IGHV3-9
UniProt:P01780 IGHV3-7
UniProt:P01762 IGHV3-11
UniProt:P01825 IGHV4-59
UniProt:Q6PIL0 IGHV7-81
UniProt:P01742 IGHV1-69
UniProt:P01772 IGHV3-33
UniProt:P01764 IGHV3-23
UniProt:A2KUC3 IGHV
UniProt:P01602 IGKV1-5
UniProt:P06310 IGKV2-30
UniProt:P01614 IGKV2D-40
UniProt:P06315 IGKV5-2
UniProt:A0A075B6S6 IGKV2D-30
UniProt:P04433 IGKV3-11
UniProt:A0A0C4DH73 IGKV1-12
UniProt:A2NXD2 IGLV
UniProt:P01601 IGKV1D-16
UniProt:P01624 IGKV3-15
UniProt:A2NJV5 IGKV2-29
UniProt:P04432 IGKV1D-39
UniProt:P01597 IGKV1-39
UniProt:P01619 IGKV3-20
UniProt:P01594 IGKV1-33
