MoleculeName
UniProt:P15814 IGLL1
UniProt:P01871 IGHM
UniProt:P41732 TSPAN7
UniProt:Q9NRD5 PICK1
UniProt:P13726 F3
UniProt:P08709 F7
UniProt:P00742 F10
UniProt:P00740 F9
UniProt:P10646 TFPI
UniProt:P03951 F11
UniProt:P00748 F12
UniProt:P03952 KLKB1
UniProt:P05546 SERPIND1
UniProt:P01008 SERPINC1
UniProt:P05154 SERPINA5
UniProt:Q07021 C1QBP
UniProt:P42785 PRCP
UniProt:P05160 F13B
UniProt:P24158 PRTN3
ENSEMBL:ENSG00000188379 IFNA2
ENSEMBL:ENSG00000233816 IFNA1
ENSEMBL:ENSG00000186803 IFNA10
ENSEMBL:ENSG00000147873 IFNA5
ENSEMBL:ENSG00000137080 IFNA21
ENSEMBL:ENSG00000147885 IFNA16
ENSEMBL:ENSG00000214042 IFNA7
ENSEMBL:ENSG00000228083 IFNA14
ENSEMBL:ENSG00000234829 IFNA17
ENSEMBL:ENSG00000120242 IFNA8
ENSEMBL:ENSG00000236637 IFNA4
ENSEMBL:ENSG00000120235 IFNA6
ENSEMBL:ENSG00000171855 IFNB1
ENSEMBL:ENSG00000244734 HBB
ENSEMBL:ENSG00000196565 HBG2
ENSEMBL:ENSG00000213934 HBG1
ENSEMBL:ENSG00000213931 HBE1
ENSEMBL:ENSG00000223609 HBD
