MoleculeName
UniProt:Q7Z6Z7 HUWE1
UniProt:O43255 SIAH2
UniProt:Q9HAU4 SMURF2
UniProt:Q8IUQ4 SIAH1
UniProt:Q9UII4 HERC5
UniProt:Q6ZMZ0 RNF19B
UniProt:Q8TDB6 DTX3L
UniProt:Q96AX9 MIB2
UniProt:Q8IWV8 UBR2
UniProt:Q7Z419 RNF144B
UniProt:P19474 TRIM21
UniProt:P29144 TPP2
UniProt:Q13867 BLMH
UniProt:P55786 NPEPPS
UniProt:P52888 THOP1
UniProt:Q969T4 UBE2E3
UniProt:Q969M7 UBE2F
UniProt:Q5VVX9 UBE2U
UniProt:P61088 UBE2N
UniProt:Q8N2K1 UBE2J2
UniProt:Q13404 UBE2V1
UniProt:P63146 UBE2B
UniProt:Q96B02 UBE2W
UniProt:P62256 UBE2H
UniProt:Q9C0C9 UBE2O
UniProt:P60604 UBE2G2
UniProt:Q9H832 UBE2Z
UniProt:P61081 UBE2M
UniProt:Q8WVN8 UBE2Q2
UniProt:P49427 CDC34
UniProt:P62837 UBE2D2
UniProt:P61086 UBE2K
UniProt:Q9Y2X8 UBE2D4
UniProt:Q16763 UBE2S
UniProt:P41226 UBA7
UniProt:P61077 UBE2D3
UniProt:Q9Y385 UBE2J1
UniProt:Q15819 UBE2V2
UniProt:O00762 UBE2C
UniProt:P62253 UBE2G1
UniProt:Q96LR5 UBE2E2
UniProt:Q7Z7E8 UBE2Q1
UniProt:P68036 UBE2L3
UniProt:Q712K3 UBE2R2
UniProt:P51668 UBE2D1
UniProt:P51965 UBE2E1
UniProt:O14933 UBE2L6
UniProt:P49459 UBE2A
UniProt:O95352 ATG7
UniProt:Q9GZZ9 UBA5
UniProt:A0AVT1 UBA6
UniProt:P22314 UBA1
UniProt:Q8TBC4 UBA3
